Sector Code,Sector,Industry Code,Industry,Disclosure Topic Code,Disclosure Topic,Accounting Metric Code,Accounting Metric,Technical Protocol Code,Technical Protocol,TP Footnote Number,TP Footnote,Technical Protocol Bullet Point 1,TP_BP1 Footnote Number,TP_BP1 Footnote,Sub-Bullet Points for Bullet Point 1,TP_BP1_Sub Footnote Number,TP_BP1_Sub Footnote,Technical Protocol Bullet Point 2,TP_BP2 Footnote Number,TP_BP2 Footnote,Sub-Bullet Points for Bullet Point 2,TP_BP2_Sub Footnote Number,TP_BP2_Sub Footnote,Technical Protocol Bullet Point 3,TP_BP3 Footnote Number,TP_BP3 Footnote,Sub-Bullet Points for Bullet Point 3,TP_BP3_Sub Footnote Number,TP_BP3_Sub Footnote,Technical Protocol Bullet Point 4,TP_BP4 Footnote Number,TP_BP4 Footnote,Sub-Bullet Points for Bullet Point 4,TP_BP4_Sub Footnote Number,TP_BP4_Sub Footnote,Technical Protocol Bullet Point 5,TP_BP5 Footnote Number,TP_BP5 Footnote,Sub-Bullet Points for Bullet Point 5,TP_BP5_Sub Footnote Number,TP_BP5_Sub Footnote,Technical Protocol Bullet Point 6,TP_BP6 Footnote Number,TP_BP6 Footnote,Sub-Bullet Points for Bullet Point 6,TP_BP6_Sub Footnote Number,TP_BP6_Sub Footnote,Technical Protocol Bullet Point 7,TP_BP7 Footnote Number,TP_BP7 Footnote,Sub-Bullet Points for Bullet Point 7,TP_BP7_Sub Footnote Number,TP_BP7_Sub Footnote,Technical Protocol Bullet Point 8,TP_BP8 Footnote Number,TP_BP8 Footnote,Sub-Bullet Points for Bullet Point 8,TP_BP8_Sub Footnote Number,TP_BP8_Sub Footnote,Technical Protocol Bullet Point 9,TP_BP9 Footnote Number,TP_BP9 Footnote,Sub-Bullet Points for Bullet Point 9,TP_BP9_Sub Footnote Number,TP_BP9_Sub Footnote,Technical Protocol Bullet Point 10,TP_BP10 Footnote Number,TP_BP10 Footnote,Sub-Bullet Points for Bullet Point 10,TP_BP10_Sub Footnote Number,TP_BP10_Sub Footnote,Technical Protocol Bullet Point 11,TP_BP11 Footnote Number,TP_BP11 Footnote,Sub-Bullet Points for Bullet Point 11,TP_BP11_Sub Footnote Number,TP_BP11_Sub Footnote
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.3,"The entity shall describe whether its approach to chemicals management is characterized by a hazard-based, risk-based, or other approach, where:", , ,"A hazard-based approach to chemicals management is defined as the process of identifying and managing the usage of chemicals based on the inherent human health and environmental toxicological characteristics of chemical ingredients, including specific exposure routes (e.g., oral, dermal, or inhalation) and dosages (amounts) of a substance it takes to cause an adverse effect.", ,"Definition adapted from ""International Programme on Chemical Safety (ICS) and World Health Organization, 2001, “ Environmental Health Criteria 222 | Biomarkers In Risk Assessment: Validity And Validation ,” and American Chemistry Council, “Understanding Risk and Hazard When it Comes to Chemicals,” accessed August 21, 2015, http://chemicalsafetyfacts.org/understanding-risk/.", , ,,"A risk-based approach to chemicals management is defined as managing the usage of chemicals based on the integration of chemical hazard information with an assessment of chemical exposure (i.e., route, frequency, duration, and magnitude) to assess the probability and magnitude of harm to a given population(s) arising from exposure to a chemical, given attendant uncertainties.", ,"Definition adapted from ""International Programme on Chemical Safety (ICS) and World Health Organization, 2001, “ Environmental Health Criteria 222 | Biomarkers In Risk Assessment: Validity And Validation ,” and American Chemistry Council, “Understanding Risk and Hazard When it Comes to Chemicals,” accessed August 21, 2015, http://chemicalsafetyfacts.org/understanding-risk/.", , ,,"Other approaches may include the use of hazard-based and risk-based approaches depending on the chemical in question, product category, business segment, operating region, and/or intended product user.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.4,"The entity shall discuss the operational processes it employs for chemicals management, where:", , ,"Relevant operational processes used for hazard-based approaches include the exclusion of chemicals in a finished product because their use is prohibited by a regulation or because they have known toxicity at levels at or below amounts detectable in the entity’s products (e.g., use of a comprehensive restricted substances list (RSL) for chemicals that are banned globally or in locations where the entity operates).", ,, , ,,"Relevant operational processes that typify risk-based management include evaluating chemical hazard data, conducting assessment of exposure pathways, and identifying potential corresponding health risks through the use of screening methods and chemical risk framework tools, such as the World Health Organization's (WHO) Human Health Risk Assessment Toolkit: Chemical Hazards, the International Council of Chemical Association's (ICCA) Guidance on Chemical Risk Assessment, and the Outdoor Industry Association’s (OIA) ChemUnity Guide of Chemicals Management Solutions.", ,, , ,,Additional frameworks for hazard- and risk-based chemical assessment include those compiled by the Organisation for Economic Co-operation and Development (OECD)., ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.5,"The entity shall describe its approach to chemicals management in the context of each stage in its products lifecycles, such as product design and planning, materials and chemicals procurement, manufacturing, finished-goods testing, and product labeling and marketing.", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.6,"The entity shall describe how it prioritizes chemicals for reduction and/or elimination from its products and how it works to incorporate alternative chemicals into product formulation and design, including through materials substitution assessments.", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.7,"The entity shall describe whether it designs its products according to one or more green chemistry principles, including how it prioritizes a set of chemicals from its full product portfolio and evaluates sourcing options and potential material innovation.", , ,Green chemistry principles are defined by the 12 Principles of Green Chemistry., ,, , ,,"A product shall be considered to have been designed with green chemistry principles if documentation shows that tools, frameworks, standards, and/or certifications were used to incorporate one or more green chemistry principle into the design, materials selection, manufacturing processes, use-phase, and/or end-of-life disposal of the product.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.8,"The entity shall disclose whether it pursues third-party certifications to verify the chemical content of its finished products, including which certifications it holds and which products the certifications apply to.", , ,"Examples of third-party certifications that verify chemical content in products include, but are not limited to, OEKO-TEX Standard 100 Certification, Eco-Passport, Bluesign, and Intertek Eco- Certification.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.9,"The entity shall describe how it works with its suppliers to manage risks and/or hazards associated with chemicals in products, including:", , ,"Whether and how it works with its suppliers to implement its green chemistry program, if extant, and if it rewards suppliers for participating.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430a,Environmental Impacts in the Supply Chain,CG-AA-430a.1,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits and/or contractual agreements,CG-AA-430a.1.1,"The entity shall disclose the percentage of (1) its Tier 1 supplier facilities and (2) its supplier facilities beyond Tier 1, that are in compliance with wastewater discharge permits and/or contractual agreements.", , ,"Tier 1 suppliers are defined as suppliers that transact directly with the entity, such as finished goods manufacturers (e.g., cut and sew facilities).", ,, , ,,"Suppliers beyond Tier 1 are the key suppliers to the entity’s Tier 1 suppliers and can include manufacturers, processing plants, and providers of raw materials extraction (e.g., mills, dye houses and washing facilities, sundry manufacturers, tanneries, embroiderers, screen printers, farms, and/or slaughter houses).", ,, , ,,"A supplier facility shall be considered to be in compliance with applicable permits and/or contractual agreements if it meets the limits established by local legal or regulatory requirements for each chemical during testing conducted by local officials and by the entity, and if the facility has not received a wastewater discharge violation during the reporting period.", ,,"• The determination of facility compliance with permits and/or contractual agreements is aligned with the Sustainable Apparel Coalition’s (SAC) Higg Facility Environment Module (FEM), Section 4 - Wastewater/Effluent, Level 1, Question 2.", ,,The entity shall calculate the percentages by dividing the number of supplier facilities (in each respective category) in compliance with wastewater discharge permits and/or contractual agreements by the total number of supplier facilities (in each respective category)., ,,"• The entity may indicate the degree of estimation it uses in the calculation, if the entity does not know its complete list of suppliers beyond Tier 1.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430a,Environmental Impacts in the Supply Chain,CG-AA-430a.1,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits and/or contractual agreements,CG-AA-430a.1.2,"The scope of disclosure includes supplier facilities that discharge industrial wastewater from any building, activity, piece of equipment, or process that uses water and conduct any of the following: dying, tanning, lamination, laundry/washing, wet finishing, boiler blow-down, steam generation, cooling waters, cleaning, printing, screen printing, and degreasing.", , ,"Wastewater treatment may occur on-site at the supplier facility and off-site (i.e., sent to a wastewater treatment facility).", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430a,Environmental Impacts in the Supply Chain,CG-AA-430a.1,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits and/or contractual agreements,CG-AA-430a.1.3,"If the entity reports against a wastewater standard in addition to – or in lieu of – reporting to a permit and/or contractual agreement, the entity may disclose the percentage of its Tier 1 supplier facilities, and supplier facilities beyond Tier 1, that meet all parameters specified in the applicable wastewater standard(s).", , ,"Wastewater standards are wastewater guidelines other than permits and/or contractual agreements, including, but not limited to: the Zero Discharge of Hazardous Chemicals (ZDHC) Programme Wastewater Guidelines, BSR Sustainable Water Group Water Quality Guidelines, and The Institute of Public & Environmental Affairs (IPE) wastewater guidelines.", ,,"• The determination of facility meeting of all parameters specified in the applicable wastewater standards is aligned with the SAC’s Higg FEM, Section 4 - Wastewater/Effluent, Level 1, Question 2.", ,,The entity shall calculate the percentages by dividing the number of supplier facilities (in each respective category) that meet all parameters specified in the applicable wastewater standard(s) by the total number of supplier facilities (in each respective category)., ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430a,Environmental Impacts in the Supply Chain,CG-AA-430a.2,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2.1,"The entity shall disclose the percentage of (1) Tier 1 supplier facilities, and (2) supplier facilities beyond Tier 1, that have completed the Sustainable Apparel Coalition’s (SAC) Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment.", , ,"Tier 1 suppliers are defined as suppliers that transact directly with the entity, such as finished goods manufacturers (e.g., cut and sew facilities).", ,, , ,,"Suppliers beyond Tier 1 are the key suppliers to the entity’s Tier 1 suppliers and can include manufacturers, processing plants, and providers of raw materials extraction (e.g., mills, dye houses and washing facilities, sundry manufacturers, tanneries, embroiderers, screen printers, farms, and/or slaughter houses).", ,, , ,,The entity shall calculate the percentages by dividing the number of supplier facilities (in each respective category) that have completed the Higg FEM assessment or an equivalent environmental data assessment by the total number of supplier facilities (in each respective category)., ,,"• The entity may indicate the degree of estimation it uses in the calculation, if the entity does not know its complete list of suppliers beyond Tier 1.", ,,Supplier facilities shall be considered to have completed the assessment if the entity fully completes the applicable Higg FEM Assessment Questions., ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430a,Environmental Impacts in the Supply Chain,CG-AA-430a.2,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2.2,"If the entity collects environmental inventory data from its suppliers without using the Higg FEM, the environmental data assessment shall be considered equivalent to the Higg FEM if the entity gathers inventory data and reduction targets for all applicable categories and criteria covered in the Higg FEM, including data on:", , ,Environmental Management System, ,, , ,,Energy & GHG, ,, , ,,Water, ,, , ,,Wastewater, ,, , ,,Waste, ,, , ,,Air Emissions, ,, , ,,Chemicals Management, ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430b,Labor Conditions in the Supply Chain,CG-AA-430b.1,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labor code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1.1,"The entity shall disclose the percentage of its (1) Tier 1 supplier facilities, and (2) supplier facilities beyond Tier 1, that have been audited to a labor code of conduct during the reporting period.", , ,"Tier 1 suppliers are defined as suppliers that transact directly with the entity, such as finished goods manufacturers (cut and sew facilities).", ,, , ,,"Suppliers beyond Tier 1 are the key suppliers to the entity’s Tier 1 suppliers and can include manufacturers, processing plants, and providers of raw materials extraction (e.g., mills, dye houses and washing facilities, sundry manufacturers, tanneries, embroiderers, screen printers, farms, and/or slaughter houses).", ,, , ,,Audits are defined as visits to a supplier’s facility and review of records to ensure compliance with the code of conduct., ,, , ,,"A labor code of conduct is a corporate policy, standard, or contract that outlines a set of working conditions, labor practices, and environmental health and safety requirements for suppliers and contractors. At a minimum, a code of conduct ensures that suppliers are in compliance with regulations.", ,,"• Labor criteria in the code of conduct shall include, at a minimum, an assessment of worker hours/excessive overtime, nondiscrimination, minimum age requirements, compensation practices, freedom of association (worker involvement and communication), worker treatment and development (anti-harassment and anti-abuse policies), and termination and retrenchment policies.
• Environmental health and safety criteria in the code of conduct shall include, at a minimum, an assessment of building and occupational safety hazards and environmental provisions relating to human health and safety, including criteria focused on compliance with environmental laws, environmental permits, pollution prevention and source reduction, hazardous materials management, wastewater and solid waste management, and air emissions levels.
• Examples of apparel industry codes of conduct include the Fair Labor Association (FLA) Workplace Code of Conduct and Compliance Benchmarks , and the Outdoor Industry Association (OIA) Code of Conduct in the Fair Labor Toolkit.", ,,The entity shall calculate the percentages as the number of the entity’s supplier facilities (in each respective category) that have been audited during the reporting period divided by the total number of the entity’s supplier facilities (in each respective category)., ,,• The entity may indicate the degree of estimation it uses in the calculation if the entity does not know its complete list of suppliers beyond Tier 1., ,,The scope of audits includes those conducted by the following parties:, ,,"• An internal corporate representative
• A third-party auditor
• Other brands or external third parties not commissioned by the entity in lieu of having an audit conducted solely for the entity’s purpose", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-430b,Labor Conditions in the Supply Chain,CG-AA-430b.1,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labor code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1.2,The entity may disclose the extent to which it has reduced audit duplicity by accepting audits conducted by other brands or external third parties., , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
